 date          ar1_mean
2001-08-01  4.090713e-04
2001-08-02  4.732229e-04
2001-08-03  7.582867e-05
2001-08-06  9.469349e-04
2001-08-07  1.062590e-03
2001-08-08  5.073633e-04
2001-08-09  1.481957e-03
2001-08-10  5.457045e-04
2001-08-13  3.365788e-04
2001-08-14  4.542688e-04
2001-08-15  1.287699e-03
2001-08-16  1.503745e-03
2001-08-17 -2.161821e-04
2001-08-20  2.235884e-03
2001-08-21  1.322128e-04
2001-08-22  1.790608e-03
2001-08-23  7.077457e-04
2001-08-24  1.592733e-03
2001-08-27 -1.240219e-03
2001-08-28  4.747241e-04
2001-08-29  1.585522e-03
2001-08-30  9.380572e-04
2001-08-31  2.709718e-03
2001-09-04  5.600947e-04
2001-09-05  1.262551e-03
2001-09-06 -4.718944e-04
2001-09-07  1.759103e-03
2001-09-10  1.051471e-03
2001-09-17 -8.543015e-04
2001-09-18  3.698804e-03
2001-09-19 -3.742049e-04
2001-09-20  9.462497e-04
2001-09-21  2.815337e-03
2001-09-24  1.415007e-03
2001-09-25 -1.115769e-03
2001-09-26  1.149110e-03
2001-09-27  1.392045e-03
2001-09-28  8.662143e-04
2001-10-01 -2.823796e-04
2001-10-02  1.751305e-04
2001-10-03 -2.865030e-04
2001-10-04 -1.632698e-03
2001-10-05  4.919505e-04
2001-10-08 -2.241310e-04
2001-10-09  4.235484e-04
2001-10-10  2.899501e-03
2001-10-11 -2.503939e-05
2001-10-12  8.155450e-05
2001-10-15  5.928557e-04
2001-10-16 -4.932338e-04
2001-10-17  3.792093e-04
2001-10-18  2.198122e-03
2001-10-19  1.473693e-04
2001-10-22 -1.328499e-04
2001-10-23 -8.422997e-04
2001-10-24  4.634705e-04
2001-10-25  7.641296e-05
2001-10-26 -1.312551e-04
2001-10-29  8.506301e-04
2001-10-30  2.188837e-03
2001-10-31  1.114798e-03
2001-11-01  1.101758e-03
2001-11-02 -1.765497e-03
2001-11-05  9.020609e-04
2001-11-06 -5.180903e-04
2001-11-07 -2.690029e-04
2001-11-08  9.423814e-04
2001-11-09  5.330896e-04
2001-11-12  1.695760e-04
2001-11-13  2.969022e-04
2001-11-14 -5.791665e-04
2001-11-15  1.718664e-03
2001-11-16  5.356648e-04
2001-11-19  8.446477e-04
2001-11-20  1.789494e-04
2001-11-21  1.280708e-03
2001-11-23  1.413377e-03
2001-11-26  2.436151e-04
2001-11-27  3.819432e-04
2001-11-28  1.445498e-03
2001-11-29  1.190552e-03
2001-11-30 -5.947696e-04
2001-12-03  1.000389e-03
2001-12-04  3.034649e-04
2001-12-05 -8.471162e-05
2001-12-06 -5.695700e-04
2001-12-07  3.278284e-04
2001-12-10  1.084603e-03
2001-12-11  1.062215e-03
2001-12-12  4.865651e-04
2001-12-13  2.793766e-04
2001-12-14  1.567665e-03
2001-12-17 -3.424291e-05
2001-12-18 -2.300420e-04
2001-12-19  4.742241e-04
2001-12-20  5.130591e-04
2001-12-21  2.118105e-03
2001-12-24  1.914804e-04
2001-12-26  7.842227e-04
2001-12-27  4.027421e-04
2001-12-28  5.381681e-04
2001-12-31  6.219630e-04
2002-01-02  1.535353e-03
2002-01-03  1.823833e-04
2002-01-04 -6.016655e-04
2002-01-07  8.132813e-04
2002-01-08  8.196419e-04
2002-01-09  1.810264e-04
2002-01-10  9.981371e-04
2002-01-11  3.195566e-04
2002-01-14  9.986551e-04
2002-01-15  7.102435e-04
2002-01-16  3.690321e-05
2002-01-17  1.546156e-03
2002-01-18 -4.751750e-04
2002-01-22  2.667544e-03
2002-01-23  1.570943e-03
2002-01-24  1.055318e-03
2002-01-25  1.231103e-04
2002-01-28  1.101221e-03
2002-01-29  6.212664e-04
2002-01-30  1.521534e-03
2002-01-31  3.116441e-04
2002-02-01  1.158917e-04
2002-02-04  1.256093e-03
2002-02-05  1.562110e-03
2002-02-06  6.145577e-04
2002-02-07  1.096726e-03
2002-02-08  1.008596e-03
2002-02-11  9.583384e-05
2002-02-12  3.339712e-04
2002-02-13  1.245276e-03
2002-02-14 -4.228064e-04
2002-02-15  7.187200e-04
2002-02-19  1.521710e-03
2002-02-20  1.448979e-03
2002-02-21  1.092628e-05
2002-02-22  1.800541e-03
2002-02-25  6.721781e-04
2002-02-26 -7.737325e-05
2002-02-27  9.722209e-04
2002-02-28  7.363996e-04
2002-03-01  6.654757e-04
2002-03-04 -1.330058e-03
2002-03-05 -5.556063e-04
2002-03-06  7.644692e-04
2002-03-07  3.035614e-04
2002-03-08  1.173686e-03
2002-03-11 -1.081720e-04
2002-03-12  4.026160e-04
2002-03-13  1.690593e-03
2002-03-14  8.990473e-04
2002-03-15  1.168758e-03
2002-03-18 -1.510257e-04
2002-03-19  8.448320e-04
2002-03-20  5.783586e-04
2002-03-21  1.926892e-03
2002-03-22 -1.593441e-04
2002-03-25  1.193699e-03
2002-03-26  1.395993e-03
2002-03-27  7.288307e-04
2002-03-28  4.027945e-04
2002-04-01  7.986195e-05
2002-04-02  5.892434e-04
2002-04-03  2.573783e-03
2002-04-04  1.260020e-03
2002-04-05  5.525849e-04
2002-04-08  1.021494e-03
2002-04-09 -2.802348e-04
2002-04-10  2.185508e-03
2002-04-11 -3.519843e-04
2002-04-12  1.646901e-03
2002-04-15 -1.533655e-04
2002-04-16  7.953160e-04
2002-04-17 -8.058218e-04
2002-04-18  1.404659e-03
2002-04-19  8.066689e-04
2002-04-22  7.656264e-05
2002-04-23  1.697027e-03
2002-04-24  1.721063e-03
2002-04-25  1.312219e-03
2002-04-26  1.269612e-04
2002-04-29  2.201920e-03
2002-04-30  8.997624e-05
2002-05-01  6.186405e-04
2002-05-02  2.787071e-04
2002-05-03  1.736655e-03
2002-05-06  1.850998e-03
2002-05-07  1.350062e-03
2002-05-08 -2.771237e-05
2002-05-09 -3.569355e-03
2002-05-10  2.592871e-03
2002-05-13  2.134358e-03
2002-05-14 -1.360710e-03
2002-05-15 -9.379486e-04
2002-05-16  7.226487e-04
2002-05-17 -5.037928e-05
2002-05-20  4.364620e-04
2002-05-21  1.995851e-03
2002-05-22  1.906855e-03
2002-05-23 -4.532674e-04
2002-05-24 -1.624549e-04
2002-05-28  1.708760e-03
2002-05-29  1.300267e-03
2002-05-30  8.281625e-04
2002-05-31  2.046605e-04
2002-06-03  1.875373e-03
2002-06-04  1.739402e-03
2002-06-05  2.047804e-04
2002-06-06 -6.374551e-04
2002-06-07  4.575173e-04
2002-06-10  5.748537e-04
2002-06-11  2.227531e-05
2002-06-12  8.120201e-04
2002-06-13 -1.502384e-03
2002-06-14  1.531461e-03
2002-06-17 -8.493480e-05
2002-06-18  3.389258e-04
2002-06-19  4.226736e-04
2002-06-20  1.733522e-03
2002-06-21  8.139163e-04
2002-06-24  1.904743e-03
2002-06-25 -7.261645e-04
2002-06-26  1.477607e-03
2002-06-27 -2.092546e-04
2002-06-28  8.146205e-05
2002-07-01  7.845214e-04
2002-07-02  2.042823e-03
