date;ret
07/02/2013;-6.787614e-04
08/02/2013;7.083152e-04
11/02/2013;3.074253e-03
12/02/2013;2.631584e-03
13/02/2013;6.517211e-04
14/02/2013;-3.836407e-04
15/02/2013;1.536331e-03
19/02/2013;2.992538e-03
20/02/2013;2.491248e-03
21/02/2013;1.682375e-03
22/02/2013;-2.089538e-03
25/02/2013;-7.446997e-03
26/02/2013;7.559805e-04
27/02/2013;7.385607e-03
28/02/2013;2.591417e-03
01/03/2013;-2.338048e-03
04/03/2013;1.229842e-03
05/03/2013;2.134512e-03
06/03/2013;2.873258e-03
07/03/2013;8.163090e-04
08/03/2013;1.830129e-03
11/03/2013;-3.758996e-03
12/03/2013;-1.378594e-03
13/03/2013;2.943497e-03
14/03/2013;-6.586487e-04
15/03/2013;4.771092e-04
18/03/2013;2.033380e-03
19/03/2013;1.197065e-03
20/03/2013;3.924177e-03
21/03/2013;-1.441644e-03
22/03/2013;5.632755e-03
25/03/2013;3.201604e-03
26/03/2013;2.616835e-03
27/03/2013;-3.223527e-03
28/03/2013;1.129729e-03
01/04/2013;-6.021171e-03
02/04/2013;7.772863e-03
03/04/2013;5.735572e-03
04/04/2013;2.385603e-03
05/04/2013;2.813418e-03
08/04/2013;-1.003921e-03
09/04/2013;1.353141e-03
10/04/2013;2.433100e-03
11/04/2013;2.210727e-03
12/04/2013;2.003287e-03
15/04/2013;2.720536e-04
16/04/2013;1.159473e-03
17/04/2013;-1.767507e-03
18/04/2013;1.592805e-03
19/04/2013;1.460680e-03
22/04/2013;1.192230e-03
23/04/2013;-3.796825e-03
24/04/2013;-1.641175e-03
25/04/2013;1.158508e-03
26/04/2013;8.056699e-04
29/04/2013;7.646550e-04
30/04/2013;3.803073e-05
01/05/2013;6.303416e-04
02/05/2013;5.400604e-03
03/05/2013;1.583221e-03
06/05/2013;1.437366e-03
07/05/2013;6.378964e-04
08/05/2013;-6.675327e-03
09/05/2013;1.796882e-03
10/05/2013;1.425765e-03
13/05/2013;4.456160e-03
14/05/2013;-2.382813e-03
15/05/2013;-2.342353e-04
16/05/2013;7.161056e-03
17/05/2013;2.725034e-03
20/05/2013;1.931381e-03
21/05/2013;-1.353724e-03
22/05/2013;5.940933e-04
23/05/2013;-1.013651e-03
24/05/2013;8.598328e-04
28/05/2013;3.467400e-05
29/05/2013;-2.496123e-03
30/05/2013;-4.700318e-03
31/05/2013;-1.867601e-03
03/06/2013;4.703189e-03
04/06/2013;-7.854534e-03
05/06/2013;-1.774083e-03
06/06/2013;-4.298327e-03
07/06/2013;3.684078e-03
10/06/2013;-5.670445e-04
11/06/2013;1.874703e-03
12/06/2013;-7.352567e-04
13/06/2013;-2.564929e-03
14/06/2013;-5.699652e-04
17/06/2013;-1.202872e-03
18/06/2013;-4.537512e-03
19/06/2013;-4.040870e-03
20/06/2013;-4.749365e-03
21/06/2013;-6.679018e-04
24/06/2013;-1.407697e-03
25/06/2013;-1.310459e-03
26/06/2013;3.210095e-03
27/06/2013;4.963930e-03
28/06/2013;2.971271e-03
01/07/2013;3.590782e-03
02/07/2013;1.091473e-04
03/07/2013;4.939667e-03
05/07/2013;-3.150437e-03
08/07/2013;-8.271237e-04
09/07/2013;-2.013470e-03
10/07/2013;-4.047915e-03
11/07/2013;-3.950508e-03
12/07/2013;2.896793e-04
15/07/2013;-1.526830e-04
16/07/2013;5.621104e-03
