date        sgarchvol 
2001-04-25 0.035445172
2001-04-26 0.035224086
2001-04-27 0.034350019
2001-04-30 0.034125464
2001-05-01 0.033283003
2001-05-02 0.033375807
2001-05-03 0.032529226
2001-05-04 0.031946875
2001-05-07 0.031935654
2001-05-08 0.031151074
2001-05-09 0.030398772
2001-05-10 0.030091971
2001-05-11 0.029338406
2001-05-14 0.028647873
2001-05-15 0.028001043
2001-05-16 0.027319731
2001-05-17 0.026755983
2001-05-18 0.026283669
2001-05-21 0.025603931
2001-05-22 0.025035436
2001-05-23 0.024871366
2001-05-24 0.024322039
2001-05-25 0.024557444
2001-05-29 0.024078731
2001-05-30 0.023542119
2001-05-31 0.023263675
2001-06-01 0.022666380
2001-06-04 0.022387652
2001-06-05 0.021851279
2001-06-06 0.022045351
2001-06-07 0.021501296
2001-06-08 0.021332467
2001-06-11 0.020856869
2001-06-12 0.020625742
2001-06-13 0.020104919
2001-06-14 0.020120587
2001-06-15 0.020491443
2001-06-18 0.020207618
2001-06-19 0.020095639
2001-06-20 0.019633965
2001-06-21 0.020354225
2001-06-22 0.019878804
2001-06-25 0.019683832
2001-06-26 0.019188330
2001-06-27 0.019154561
2001-06-28 0.018928801
2001-06-29 0.019113360
2001-07-02 0.018645705
2001-07-03 0.019728713
2001-07-05 0.019240413
2001-07-06 0.019853906
2001-07-09 0.021065994
2001-07-10 0.020580768
2001-07-11 0.020528172
2001-07-12 0.021194073
2001-07-13 0.026970225
2001-07-16 0.026286240
2001-07-17 0.025611661
2001-07-18 0.025018949
2001-07-19 0.024718863
2001-07-20 0.024892264
2001-07-23 0.026552538
2001-07-24 0.026806381
2001-07-25 0.026255829
2001-07-26 0.025858895
2001-07-27 0.025386116
2001-07-30 0.025049066
2001-07-31 0.024420609
2001-08-01 0.023819680
2001-08-02 0.023219819
2001-08-03 0.022848913
2001-08-06 0.022357112
2001-08-07 0.021957910
2001-08-08 0.021405347
2001-08-09 0.021518980
2001-08-10 0.020973776
2001-08-13 0.020505917
2001-08-14 0.020007698
2001-08-15 0.019931237
2001-08-16 0.020169026
2001-08-17 0.020277418
2001-08-20 0.022076713
2001-08-21 0.021702293
2001-08-22 0.022323753
2001-08-23 0.021760895
2001-08-24 0.022025230
2001-08-27 0.024186290
2001-08-28 0.023575541
2001-08-29 0.023716569
2001-08-30 0.023192044
2001-08-31 0.025918714
2001-09-04 0.025247239
2001-09-05 0.024909758
2001-09-06 0.025123800
2001-09-07 0.025442817
2001-09-10 0.024928171
2001-09-17 0.025835538
2001-09-18 0.031333148
2001-09-19 0.031078466
2001-09-20 0.030330665
2001-09-21 0.032404887
2001-09-24 0.031926077
2001-09-25 0.032778884
2001-09-26 0.032082118
2001-09-27 0.031594880
2001-09-28 0.030803260
2001-10-01 0.030470356
2001-10-02 0.029784337
2001-10-03 0.029500328
2001-10-04 0.031749829
2001-10-05 0.030921821
2001-10-08 0.030524064
2001-10-09 0.029742909
2001-10-10 0.032100791
2001-10-11 0.031487175
2001-10-12 0.030822225
2001-10-15 0.030012324
2001-10-16 0.029969903
2001-10-17 0.029215907
2001-10-18 0.030029090
2001-10-19 0.029372368
2001-10-22 0.028949150
2001-10-23 0.029517551
2001-10-24 0.028756849
2001-10-25 0.028186793
2001-10-26 0.027809471
2001-10-29 0.027123420
2001-10-30 0.028090411
2001-10-31 0.027527933
2001-11-01 0.026975820
2001-11-02 0.029923330
2001-11-05 0.029192808
2001-11-06 0.029228058
2001-11-07 0.028949346
2001-11-08 0.028264198
2001-11-09 0.027529037
2001-11-12 0.026940444
2001-11-13 0.026305328
2001-11-14 0.026603042
2001-11-15 0.026766293
2001-11-16 0.026072988
2001-11-19 0.025436189
2001-11-20 0.024910973
2001-11-21 0.024605067
2001-11-23 0.024458740
2001-11-26 0.023927471
2001-11-27 0.023350042
2001-11-28 0.023306261
2001-11-29 0.022978870
2001-11-30 0.023534712
2001-12-03 0.023051755
2001-12-04 0.022534176
2001-12-05 0.022350133
2001-12-06 0.022906740
2001-12-07 0.022382200
2001-12-10 0.021999126
2001-12-11 0.021612622
2001-12-12 0.021073999
2001-12-13 0.020633176
2001-12-14 0.020930202
2001-12-17 0.020762470
2001-12-18 0.020856822
2001-12-19 0.020343079
2001-12-20 0.019836418
2001-12-21 0.021381117
2001-12-24 0.020986913
2001-12-26 0.020481743
2001-12-27 0.020000990
2001-12-28 0.019500509
2001-12-31 0.019010303
2002-01-02 0.019363452
2002-01-03 0.019050069
2002-01-04 0.019954270
2002-01-07 0.019490665
2002-01-08 0.019043945
2002-01-09 0.018743808
2002-01-10 0.018427449
2002-01-11 0.018051639
2002-01-14 0.017761631
2002-01-15 0.017333073
2002-01-16 0.017252357
2002-01-17 0.017757573
2002-01-18 0.018508829
2002-01-22 0.021920353
2002-01-23 0.022139458
2002-01-24 0.021742627
2002-01-25 0.021388054
2002-01-28 0.021056057
2002-01-29 0.020521048
2002-01-30 0.020749722
2002-01-31 0.020301644
2002-02-01 0.020008795
2002-02-04 0.019893798
2002-02-05 0.020231631
2002-02-06 0.019720166
2002-02-07 0.019449668
2002-02-08 0.019115295
2002-02-11 0.018889584
2002-02-12 0.018490350
2002-02-13 0.018436778
2002-02-14 0.019021521
2002-02-15 0.018557284
2002-02-19 0.018918654
2002-02-20 0.019133148
2002-02-21 0.018997056
2002-02-22 0.019874161
2002-02-25 0.019376967
2002-02-26 0.019336401
2002-02-27 0.018979418
2002-02-28 0.018520634
2002-03-01 0.018062119
2002-03-04 0.021141688
2002-03-05 0.021766358
2002-03-06 0.021232211
2002-03-07 0.020772779
